Timestamp,Total_CPU(%),Total_MEM(%),Total_RSS(KB),Total_VSZ(KB)
2025-07-23 22:30:04,100,0,9216,611220
2025-07-23 22:30:07,100,0,9216,611220
2025-07-23 22:30:10,99.9,0,9216,611220
2025-07-23 22:30:12,100,0,9216,611220
2025-07-23 22:30:15,100,0,9216,611220
2025-07-23 22:30:18,100,0,9216,611220
2025-07-23 22:30:20,45.0,0,9344,611220
2025-07-23 22:30:22,96.6,0,9344,611220
2025-07-23 22:30:25,93.1,0,9344,611220
2025-07-23 22:30:27,101,0,9344,611220
2025-07-23 22:30:30,97.5,0,9344,611220
2025-07-23 22:30:33,95.1,0,9344,611220
2025-07-23 22:30:35,99.7,0,9344,611220
2025-07-23 22:30:38,97.8,0,9344,611220
2025-07-23 22:30:40,100,0,9472,611220
2025-07-23 22:30:42,0,0,0,0
2025-07-23 22:30:44,1.0,.2,93668,184184
2025-07-23 22:30:45,1.8,.2,112740,268520
2025-07-23 22:30:47,.9,.2,112740,268520
2025-07-23 22:30:50,.6,.2,112740,268520
2025-07-23 22:30:51,.4,.2,112740,268520
2025-07-23 22:30:53,.4,.2,112740,268520
2025-07-23 22:30:56,.3,.2,112740,268520
2025-07-23 22:30:58,.3,.2,112740,268520
2025-07-23 22:31:00,.2,.2,112740,268520
2025-07-23 22:31:02,.2,.2,112740,268520
2025-07-23 22:31:04,.1,.2,112740,268520
2025-07-23 22:31:06,.1,.2,112740,268520
2025-07-23 22:31:08,.1,.2,103764,192628
2025-07-23 22:31:10,0,0,0,0
2025-07-23 22:31:11,0,0,0,0
2025-07-23 22:31:12,0,0,0,0
2025-07-23 22:31:13,0,0,0,0
2025-07-23 22:31:14,0,0,0,0
2025-07-23 22:31:15,0,0,0,0
2025-07-23 22:31:16,0,0,0,0
2025-07-23 22:31:17,0,0,0,0
2025-07-23 22:31:18,0,0,0,0
2025-07-23 22:31:19,0,0,0,0
2025-07-23 22:31:20,0,0,0,0
2025-07-23 22:31:21,0,0,0,0
2025-07-23 22:31:22,0,0,0,0
2025-07-23 22:31:23,0,0,0,0
2025-07-23 22:31:24,0,0,0,0
2025-07-23 22:31:25,0,0,0,0
2025-07-23 22:31:26,4.0,0,17920,30064
2025-07-23 22:31:27,2.5,0,29696,41824
2025-07-23 22:31:29,1.5,.1,41472,53584
2025-07-23 22:31:30,1.2,.1,52224,64364
2025-07-23 22:31:31,1.0,.1,64000,76124
2025-07-23 22:31:32,.8,.2,75776,87884
2025-07-23 22:31:33,.8,.2,87552,99644
2025-07-23 22:31:35,.7,.3,99328,111404
2025-07-23 22:31:36,.6,.3,112000,124144
2025-07-23 22:31:37,.6,.3,123776,135904
2025-07-23 22:31:38,.6,.4,134528,146684
2025-07-23 22:31:39,.5,.4,147328,159424
2025-07-23 22:31:41,.5,.4,158080,170204
2025-07-23 22:31:42,.5,.5,169856,181964
2025-07-23 22:31:43,.5,.5,181632,193724
2025-07-23 22:31:44,.5,.5,193408,205484
2025-07-23 22:31:45,.5,.6,205184,217244
2025-07-23 22:31:47,.4,.6,216960,229004
2025-07-23 22:31:48,.4,.7,228608,240764
2025-07-23 22:31:49,.5,.7,240384,252524
2025-07-23 22:31:50,.4,.7,252160,264284
2025-07-23 22:31:51,.4,.8,262912,275064
2025-07-23 22:31:53,.4,.8,274688,286824
2025-07-23 22:31:54,.4,.8,285440,297604
2025-07-23 22:31:55,.4,.9,296320,308384
2025-07-23 22:31:56,.4,.9,308096,320144
2025-07-23 22:31:57,.4,.9,318848,330924
2025-07-23 22:31:58,.4,1.0,330624,342684
2025-07-23 22:31:59,.4,1.0,342400,354444
2025-07-23 22:32:01,.4,1.0,353152,365224
2025-07-23 22:32:02,.4,1.1,364928,376984
2025-07-23 22:32:03,.3,1.1,375680,387764
2025-07-23 22:32:04,.4,1.1,387456,399524
2025-07-23 22:32:05,.4,1.2,398208,410304
2025-07-23 22:32:06,.4,1.2,408960,421084
2025-07-23 22:32:07,.4,1.2,420736,432844
2025-07-23 22:32:09,.4,1.3,431488,443624
2025-07-23 22:32:10,.4,1.3,443264,455384
2025-07-23 22:32:11,.3,1.3,455040,467144
2025-07-23 22:32:12,.3,1.4,465792,477924
2025-07-23 22:32:13,.3,1.4,476544,488704
2025-07-23 22:32:14,.3,1.5,488320,500464
2025-07-23 22:32:16,.3,1.5,500096,512224
